District,Name,DocID,Receipts,Min asset,Max asset,Min liability,Max liability,Min unearned income,Max unearned income,YTD income,Prior year income
PA07,LUNKENHEIMER,,,1001,15000,,,201,1000,,
PA07,LUNKENHEIMER,,,1001,15000,,,201,1000,,
PA07,LUNKENHEIMER,,,1001,15000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,15000,50000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,201,1000,,
PA07,LUNKENHEIMER,,,1001,15000,,,201,1000,,
PA07,LUNKENHEIMER,,,15000,50000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,15001,50000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,201,1000,,
PA07,LUNKENHEIMER,,,1001,15000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
